Date	Location	Team	OppTeam	TeamId	GameId	PercentBet_ML	Open_Line_ML	Pinnacle_ML	5dimes_ML	Heritage_ML	Bovada_ML	Betonline_ML	Average_Line_ML	Best_Line_ML	Worst_Line_ML	PercentBet_Spread	Open_Line_Spread	Open_Odds_Spread	Pinnacle_Line_Spread	Pinnacle_Odds_Spread	5dimes_Line_Spread	5dimes_Odds_Spread	Heritage_Line_Spread	Heritage_Odds_Spread	Bovada_Line_Spread	Bovada_Odds_Spread	Betonline_Line_Spread	Betonline_Odds_Spread	Average_Line_Spread	Average_Odds_Spread	Best_Line_Spread	Worst_Line_Spread	Best_Odds_Spread	Worst_Odds_Spread	PercentBet_OU	Open_Line_OU	Open_Odds_OU	Pinnacle_Line_OU	Pinnacle_Odds_OU	5dimes_Line_OU	5dimes_Odds_OU	Heritage_Line_OU	Heritage_Odds_OU	Bovada_Line_OU	Bovada_Odds_OU	Betonline_Line_OU	Betonline_Odds_OU	Average_Line_OU	Average_Odds_OU	Best_Line_OU	Worst_Line_OU	Best_Odds_OU	Worst_Odds_OU	Pts	Spread	Result	Total
10/17/18	away	Miami	Orlando	1610612748	21800006	42.3	-135	-138	-130	-135	-130	-130	-132.6	-130	-138	51.7	-2	-110	-2.5	-108	-2.5	-103	-2.5	-105	-2.5	-105	-2.5	-105	-2.42	-106	-2	-2.5	-103	-110	38.6			209	-103	208.5	-105	209	-105	208	-110	208.5	-105	208.6	-105.6	209	208	-103	-110	101	-3	L	205
10/17/18	home	Orlando	Miami	1610612753	21800006	57.7	115	125	120	115	110	110	116	125	110	48.3	2	-110	2.5	-102	2.5	-107	2.5	-105	2.5	-115	2.5	-115	2.42	-109	2.5	2	-102	-115	61.4			209	-107			209	-105	208	-110	208.5	-115	208.62	-109.25	209	208	-105	-115	104	3	W	205
10/17/18	away	Atlanta	New York	1610612737	21800007	87.5	140	151	150	145	150	146	148.4	151	145	13.3			3.5	-102	4	-105	3.5	-105	3.5	-105	3.5	-104	3.6	-104.2	4	3.5	-102	-105	56.7	213.5	-110	217	-107	217	-103	217	-105	217	-110	217	-115	216.42	-108.33	217	213.5	-103	-115	107	-19	L	233
10/17/18	home	New York	Atlanta	1610612752	21800007	12.5	-160	-167	-160	-165	-170	-166	-165.6	-160	-170	86.7			-3.5	-108	-4	-105	-3.5	-105	-3.5	-115	-3.5	-116	-3.6	-109.8	-3.5	-4	-105	-116	43.3	213.5	-110	217	-103	217	-107	217	-105	217	-110	217	-105	216.42	-106.67	217	213.5	-103	-110	126	19	W	233
10/17/18	away	Cleveland	Toronto	1610612739	21800008	37.9		788	800	825	650	775	767.6	825	650	54.5	11.5	-110	12.5	-103	12.5	-103	12.5	-105	12.5	-110	12.5	-107	12.33	-106.33	12.5	11.5	-103	-110	50	214	-110	215	-109	215	-108	215	-105	215	-115	215.5	-115	214.92	-110.33	215.5	214	-105	-115	104	-12	L	220
10/17/18	home	Toronto	Cleveland	1610612761	21800008	62.1		-1034	-1000	-1175	-1100	-1100	-1081.8	-1000	-1175	45.5	-11.5	-110	-12.5	-107	-12.5	-107	-12.5	-105	-12.5	-110	-12.5	-113	-12.33	-108.67	-11.5	-12.5	-105	-113	50	214	-110	215	-101	215	-102	215	-105	215	-105	215.5	-105	214.92	-104.67	215.5	214	-101	-110	116	12	W	220
10/17/18	away	New Orleans	Houston	1610612740	21800009	43.1	263	304	290	300	280	290	292.8	304	280	50	7.5	-110	8	-100	8	-105	7.5	-105	8	-105	8	-110	7.83	-105.83	8	7.5	-100	-110	45.2	229.5	-110	232	-102	232	-105	232.5	-105	232	-105	232	-110	231.67	-106.17	232.5	229.5	-102	-110	131	19	W	243
10/17/18	home	Houston	New Orleans	1610612745	21800009	56.9	-325	-348	-320	-370	-360	-350	-349.6	-320	-370	50	-7.5	-110	-8	-110	-8	-105	-7.5	-105	-8	-115	-8	-110	-7.83	-109.17	-7.5	-8	-105	-115	54.8	229.5	-110	232	-108	232	-105	232.5	-105	232	-115	232	-110	231.67	-108.83	232.5	229.5	-105	-115	112	-19	L	243
10/17/18	away	Minnesota	San Antonio	1610612750	21800010	40.3	125	118	125	120	120	110	118.6	125	110	45.7			2.5	-110	2.5	-106	2.5	-105	3	-110	2.5	-116	2.6	-109.4	3	2.5	-105	-116	51.2	210.5	-110	212	-101	212	-105	212	-105	212	-115	212	-110	211.75	-107.67	212	210.5	-101	-115	108	-4	L	220
10/17/18	home	San Antonio	Minnesota	1610612759	21800010	59.7	-145	-130	-135	-140	-140	-130	-135	-130	-140	54.3			-2.5	-100	-2.5	-104	-2.5	-105	-3	-110	-2.5	-104	-2.6	-104.6	-2.5	-3	-100	-110	48.8	210.5	-110	212	-109	212	-105	212	-105	212	-105	212	-110	211.75	-107.33	212	210.5	-105	-110	112	4	W	220
10/17/18	away	Utah	Sacramento	1610612762	21800011	58.1		-389	-365	-420	-420	-400	-398.8	-365	-420	55.6			-8.5	-104	-8.5	-105	-8.5	-105	-9	-105	-8.5	-108	-8.6	-105.4	-8.5	-9	-104	-108	37.5	208	-110	206	-105	205.5	-105	205	-105	205	-115	205.5	-111	205.83	-108.5	208	205	-105	-115	123	6	W	240
10/17/18	home	Sacramento	Utah	1610612758	21800011	41.9		337	328	330	310	330	327	337	310	44.4			8.5	-106	8.5	-105	8.5	-105	9	-115	8.5	-112	8.6	-108.6	9	8.5	-105	-115	62.5	208	-110	206	-105	205.5	-105	205	-105	205	-105	205.5	-109	205.83	-106.5	208	205	-105	-110	117	-6	L	240
10/17/18	away	Denver	L.A. Clippers	1610612743	21800012	56.1	-110	-127	-130	-140	-150	-135	-136.4	-127	-150	58.6	1	-115	-2	-105	-2	-105	-2.5	-105	-2.5	-115	-2.5	-110	-1.75	-109.17	1	-2.5	-105	-115	42.4	227	-110	224	-102	223.5	-105	223.5	-105	224	-105	223	-115	224.17	-107	227	223	-102	-115	107	9	W	205
10/17/18	home	L.A. Clippers	Denver	1610612746	21800012	43.9	-110	115	120	120	130	115	120	130	115	41.4	-1	-105	2	-105	2	-105	2.5	-105	2.5	-105	2.5	-110	1.75	-105.83	2.5	-1	-105	-110	57.6	227	-110	224	-108	223.5	-105	223.5	-105	224	-115	223	-105	224.17	-108	227	223	-105	-115	98	-9	L	205
