Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
AJ Hammons,DAL,22,4,18,7.4,1.6,0.7,41.7,3.9,41.9,0.2,44.4,4.7
Aaron Brooks,IND,64,36,28,13.6,1.1,0.2,15.9,2.8,38.3,0.1,40.1,10.8
Aaron Gordon,ORL,80,29,51,28.7,5.1,1.7,33.6,9.4,54,0.5,57,6.8
Aaron Harrison,CHA,5,2,3,3.3,0.6,0,0,0.8,75,0,75,5.5
Adreian Payne,MIN,18,5,13,7.5,1.8,0.7,39.4,3.2,57.9,0.2,62.3,6.1
Al Horford,BOS,68,46,22,32.3,6.8,2.6,38.3,13.6,50.2,0.8,53.4,7
Al Jefferson,IND,65,33,32,14.2,4.2,2,46,7.2,59.1,0.4,62.7,4.7
Al-Farouq Aminu,POR,61,33,28,29.1,7.4,2.7,36.1,13.6,54.4,1,58.7,5.8
Alan Anderson,LAC,30,20,10,10.3,0.8,0.2,20.8,2.1,37.5,0.2,41.4,7
Alan Williams,PHX,47,11,36,15.1,6.2,3,47.6,11.1,56,0.5,58.6,4.8
Alec Burks,UTA,42,26,16,15.5,2.9,0.8,29.2,5.3,53.6,0.4,57.4,6.6
Alex Abrines,OKC,68,37,31,15.5,1.3,0.4,29.1,3.1,41.1,0.3,45,8.6
Alex Len,PHX,75,20,55,20.4,6.7,3,44.3,12.7,53,0.8,56.6,4.7
Alex Poythress,PHI,6,0,6,26.1,4.8,2.5,51.7,11.2,43.3,0.7,46,6.3
Alexis Ajinca,NOP,39,15,24,15,4.5,1.9,42.4,8.9,51,0.3,53,4.8
Allen Crabbe,POR,79,39,40,28.5,2.9,0.7,26.1,6.4,44.9,0.4,48.1,8.3
Alonzo Gee,DEN,13,4,9,6.9,1.2,0.6,53.3,2.4,48.4,0.4,57.7,5.7
Amir Johnson,BOS,80,51,29,20.1,4.6,2.4,52.2,10.5,43.5,0.8,46.9,4.8
Anderson Varejao,GSW,14,12,2,6.6,1.9,0.9,48.1,3.1,62.8,0.5,75,5.8
Andre Drummond,DET,81,36,45,29.7,13.8,6.8,49.2,21.2,65.1,1,68.2,4
Andre Iguodala,GSW,76,64,12,26.3,4,1.1,28,7.4,54.1,0.5,58.2,9.4
Andre Roberson,OKC,79,46,33,30.1,5.1,1.7,33.7,11.1,46,0.6,48.7,6.3
Andrew Bogut,CLE,27,8,19,21.6,8.1,3.6,44.5,13.8,58.6,1.1,63.7,4.6
Andrew Harrison,MEM,72,38,34,20.5,1.9,0.3,16.2,4.7,40.1,0.3,42.9,11
Andrew Nicholson,BKN,38,20,18,9,1.6,0.7,44.3,3.6,44.9,0.2,47.3,4.7
Andrew Wiggins,MIN,82,31,51,37.2,4,1.8,45.1,9.6,41.6,0.5,44,7.3
Anthony Bennett,BKN,22,3,19,11,3.1,1.3,42.6,5.5,56.7,0.2,58.6,4.9
Anthony Brown,ORL,11,3,8,14.5,3,0.5,15.2,4.3,70.2,0.4,76.7,9.6
Anthony Davis,NOP,75,31,44,36.1,11.8,5.3,44.8,18.8,62.7,0.9,66,5
Anthony Morrow,CHI,49,25,24,14.6,0.6,0.2,29,2,31.3,0.1,33.3,13.1
Anthony Tolliver,SAC,65,26,39,22.7,3.6,1.2,31.6,7.2,50.6,0.5,54.7,6.7
Archie Goodwin,BKN,15,8,7,14.3,1.9,0.5,25,4.7,40,0.2,41.8,6.7
Arinze Onuaku,ORL,8,3,5,3.5,0.8,0.6,83.3,1.8,42.9,0,42.9,2.2
Aron Baynes,DET,75,34,41,15.5,4.4,2.2,49.8,9.4,47,0.8,51.4,4.7
Arron Afflalo,SAC,61,23,38,25.9,2,0.2,9.6,5,40.8,0.3,43.3,9.1
