Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
Aaron Brooks,MIN,32,19,13,5.9,0.5,0.1,17.6,1.1,47.2,0.2,56.7,11.5
Aaron Gordon,ORL,58,19,39,32.9,7.9,2.6,33.5,13.6,58.1,0.7,61.1,6
Aaron Harrison,DAL,9,2,7,25.9,2.7,0.3,12.5,4.7,57.1,0.2,60,11
Aaron Jackson,HOU,1,0,1,34.5,3,1,33.3,7,42.9,0,42.9,7.8
Abdel Nader,BOS,47,32,15,11.1,1.5,0.4,29.6,2.6,57.7,0.2,62.3,7
Adreian Payne,ORL,5,0,5,8.5,1.8,0.6,33.3,3.2,56.3,0,56.3,4.6
Al Horford,BOS,69,44,25,31.5,7.4,2.5,33.9,12.7,57.8,0.6,60.6,6.4
Al Jefferson,IND,36,17,19,13.4,4,1.7,42,7.5,53.2,0.4,55.9,4.5
Al-Farouq Aminu,POR,69,40,29,30,7.6,2.2,29.1,12.9,59.2,0.7,62.4,5.9
Alan Williams,PHX,5,1,4,14.1,4.4,1.2,27.3,9.6,45.8,0,45.8,4
Alec Burks,UTA,64,37,27,16.5,3,0.7,24,5.6,53.3,0.4,57.5,6.5
Alec Peters,PHX,20,2,18,11.2,1.9,0.7,37.8,3,62.7,0.2,67.3,5.6
Alex Abrines,OKC,73,42,31,15.1,1.5,0.4,27,3.3,46.4,0.3,50.5,9.4
Alex Caruso,LAL,37,16,21,15.2,1.8,0.4,21.5,3.4,52.4,0.3,57.5,10.4
Alex Len,PHX,69,20,49,20.2,7.5,3.5,46.3,14,53.7,0.6,55.9,4.4
Alex Poythress,IND,25,10,15,4.2,0.7,0.3,47.1,1.5,45.9,0,47.2,7.2
Alfonzo McKinnie,TOR,14,13,1,3.8,0.5,0.3,57.1,0.9,58.3,0.2,77.8,3.2
Allen Crabbe,BKN,73,24,49,29.2,4.3,0.8,19,7.9,54.4,0.4,57.2,7.3
Amir Johnson,PHI,74,47,27,15.8,4.5,2.3,51.2,9.2,48.3,0.8,53,5.5
Andre Drummond,DET,78,37,41,33.7,16,7.4,46,25.7,62.3,1,64.9,4
Andre Iguodala,GSW,64,46,18,25.4,3.8,0.9,23.6,7.6,50.5,0.6,54.5,8.2
Andre Ingram,LAL,2,1,1,32.1,3,0,0,4,75,0.5,85.7,10.2
Andre Roberson,OKC,37,24,13,26.6,4.6,2,43,9.8,47.5,0.6,50.6,6.5
Andrew Bogut,LAL,24,7,17,9,3.3,1.5,46.2,5.3,61.9,0.3,66.1,5.2
Andrew Harrison,MEM,56,17,39,23.7,2.3,0.4,16,5.8,40.1,0.4,43.1,10
Andrew White III,ATL,15,1,14,13.9,2.3,0.2,8.8,4.5,50,0.3,53.1,7.5
Andrew Wiggins,MIN,82,47,35,36.3,4.4,1.3,29.9,10,43.8,0.6,46.7,7
Ante Zizic,CLE,32,21,11,6.7,1.9,0.9,50,3.7,51.3,0.2,54.5,4.7
Anthony Brown,MIN,1,0,1,3.7,0,0,0,0,0,2,0,0
Anthony Davis,NOP,75,45,30,36.4,11.1,4.6,41.3,18.7,59.3,0.8,62,5.2
Anthony Tolliver,DET,79,37,42,22.2,3.1,0.8,27.4,6.7,45.2,0.5,49,8
Antonio Blakeney,CHI,19,3,16,16.5,1.7,0.2,12.1,3.6,47.8,0.2,50.8,7.1
Antonius Cleveland,ATL,17,7,10,7.2,0.8,0.3,35.7,1.8,45.2,0.2,50,7.1
Aron Baynes,BOS,78,51,27,18.4,5.4,2.4,45.5,10.9,49.4,0.8,53.3,4.6
Arron Afflalo,ORL,53,16,37,12.9,1.2,0.2,19.7,2.4,51.2,0.2,56.4,9.3
Austin Rivers,LAC,61,30,31,33.7,2.4,0.4,18.6,6.3,37.8,0.6,42,9.4
Avery Bradley,LAC,46,22,24,31.2,2.5,0.5,18.1,5.9,42.5,0.6,47.3,7.5
Bam Adebayo,MIA,68,33,35,19.8,5.5,2.4,43.1,9.8,56.7,0.5,59.5,5.8
Ben McLemore,MEM,56,7,49,19.5,2.5,0.4,16.5,5.3,47,0.5,51.9,8
Ben Moore,IND,2,1,1,4.6,0.5,0,0,1,50,0,50,9.7
Ben Simmons,PHI,80,51,29,33.8,8.2,2.2,26.2,13.9,59.2,0.6,61.6,7.4
Bismack Biyombo,ORL,82,25,57,18.2,5.7,2.5,43.2,11.4,50.1,0.5,52.5,4.6
Blake Griffin,DET,58,28,30,34,7.4,2.2,30.4,14.3,51.5,0.9,54.9,5.4
Boban Marjanovic,LAC,39,18,21,8.7,3.7,1.9,50.7,6.5,56.9,0.5,61.3,3.6
Bobby Brown,HOU,20,17,3,5.7,0.4,0,0,0.6,63.6,0.1,70,16.2
Bobby Portis,CHI,73,25,48,22.5,6.8,2.3,33.7,12.1,56.4,0.5,59,5.1
Bogdan Bogdanovic,SAC,78,26,52,27.9,2.9,0.7,25.1,6.3,45.3,0.6,49.7,7.6
Bojan Bogdanovic,IND,80,47,33,30.8,3.4,0.5,15.9,6.6,51.1,0.4,54.3,8
Bradley Beal,WAS,82,43,39,36.3,4.4,1,23.1,9.2,48,0.5,50.5,8.8
Brandan Wright,HOU,28,11,17,13.6,3.4,1.8,52.6,6.4,53.1,0.3,55.9,5.6
Brandon Ingram,LAL,59,27,32,33.5,5.3,1.5,28.7,10.5,50.7,0.6,53.6,6.8
Brandon Jennings,MIL,14,8,6,14.7,2.2,0.2,9.7,4.4,50.8,0.1,52.5,9.2
Brandon Paul,SAS,64,38,26,9,1.1,0.2,19.1,2.3,46.3,0.2,50.4,8.1
Briante Weber,MEM,18,8,10,13.1,1.9,0.3,14.3,3.6,53.8,0.2,56.5,10.1
Brice Johnson,MEM,18,2,16,5.4,1.7,0.8,45.2,2.4,70.5,0.1,72.1,4.8
Brook Lopez,LAL,74,34,40,23.4,4,2,49.7,7.7,51.3,0.5,54.7,6.4
Bruno Caboclo,SAC,12,4,8,8.9,1.8,0.9,50,3.9,46.8,0.3,51.2,5.6
Bryn Forbes,SAS,80,46,34,19,1.4,0.2,14.5,3,45.3,0.3,50.2,10.5
Buddy Hield,SAC,80,27,53,25.3,3.8,0.5,14,7.6,50.2,0.5,53.9,7.8
C.J. Williams,LAC,38,17,21,18.6,1.5,0.3,23.2,3.3,44.4,0.3,48.7,9.7
CJ McCollum,POR,81,48,33,36.1,4,0.7,18.7,8.6,46.1,0.5,49.1,10.2
CJ Miles,TOR,70,50,20,19.1,2.2,0.4,20.4,4.1,53,0.2,55.5,9.9
Caleb Swanigan,POR,27,16,11,7,2,0.9,42.6,4.2,47.4,0.3,51.4,4.1
Cameron Payne,CHI,25,7,18,23.3,2.8,0.5,17.4,6.2,44.8,0.4,47.9,9.9
Caris LeVert,BKN,69,24,45,26.1,3.7,1,25.9,8,46.2,0.6,50,7
