Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
Aaron Brooks,CHI,69,36,33,16.1,1.5,0.3,21.8,3.9,37.8,0.3,40.7,11.3
Aaron Gordon,ORL,77,32,45,24.1,6.6,2.9,44.5,10.8,60.6,0.5,63.6,5.4
Aaron Harrison,CHA,21,15,6,4.4,0.7,0,6.7,1.2,57.7,0.1,62.5,9.9
Adreian Payne,MIN,52,18,34,9.3,2.1,0.8,38.7,3.7,57.8,0.2,61.3,5.3
Al Horford,ATL,82,48,34,32.1,7.3,3,41.6,14.6,49.9,1,53.5,6.3
Al Jefferson,CHA,47,33,14,23.3,6.4,2.2,34.2,11.6,55.2,1,60.6,4.4
Al-Farouq Aminu,POR,82,44,38,28.5,6.1,2,33.1,11.1,54.8,0.7,58.6,6.5
Alan Anderson,WAS,13,8,5,14.8,2.1,0.4,18.5,4.8,42.9,0.5,47.4,6.8
Alan Williams,PHX,10,3,7,6.8,3.8,2.2,57.9,6.1,62.3,0.3,65.5,3.8
Alec Burks,UTA,31,13,18,25.7,3.5,0.8,22.9,8.4,41.8,0.5,44.1,8.4
Alex Len,PHX,78,23,55,23.3,7.6,3.4,44.8,14.4,52.8,0.8,56,4.7
Alex Stepheson,MEM,8,2,6,9,3.5,2.4,67.9,7,50,0.5,53.8,4.7
Alexis Ajinca,NOP,59,20,39,14.6,4.6,1.9,42,8,57,0.5,60.9,4.4
Allen Crabbe,POR,81,43,38,26,2.7,0.6,21.3,5.3,50.1,0.5,55.4,8.5
Alonzo Gee,NOP,73,27,46,22.4,3.4,1.1,33.5,6.9,48.3,0.4,51.1,7.1
Amar'e Stoudemire,MIA,52,30,22,14.7,4.3,1.8,42.8,8.9,48.1,0.5,51,4.3
Amir Johnson,BOS,78,44,34,22.8,6.4,3.3,52.4,12.5,51.2,0.8,54.9,5.2
Anderson Varejao,GSW,53,41,12,9.4,2.7,1.1,39.7,5.1,52.6,0.3,56.2,4.6
Andre Drummond,DET,81,43,38,32.9,14.8,7.6,51.7,22.6,65.4,1,68.5,3.8
Andre Iguodala,GSW,65,59,6,26.6,4,1,25.9,7.2,56.3,0.4,59.8,9.1
Andre Miller,SAS,39,20,19,11.8,1.3,0.4,29.4,2.9,45.1,0.1,46.8,8.9
Andre Roberson,OKC,70,48,22,22.2,3.6,1.4,39.8,7.6,47.4,0.4,50.3,6.8
Andrea Bargnani,BKN,46,11,35,13.8,2.1,0.9,42.3,4.4,48.3,0.2,50,6.1
Andrew Bogut,GSW,70,62,8,20.7,7,3.4,48.2,12.1,58.1,0.8,62.4,4.2
Andrew Goudelock,HOU,8,5,3,6.2,0.3,0.3,100,1.5,16.7,0.1,18.2,16.9
Andrew Nicholson,ORL,55,22,33,14.9,3.7,1.6,42.8,6.2,58.6,0.3,61.7,4.8
Andrew Wiggins,MIN,81,29,52,35.1,3.6,1.5,40.5,8.7,41.2,0.3,42.9,8.2
Anthony Bennett,TOR,19,12,7,4.4,1.2,0.5,39.1,1.9,62.2,0.1,63.9,5.3
