Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
AJ Price,MIN,28,15,13,3.5,0.4,0,10,0.8,45.5,0,47.6,14.2
Aaron Brooks,DEN,72,42,30,21.6,1.9,0.4,20,5.3,36.7,0.5,40.2,11.8
Aaron Gray,SAC,36,11,25,9.7,3,1.4,46.8,6.2,48.9,0.5,53.4,5.2
Adonis Thomas,PHI,6,2,4,6.3,0.5,0,0,1.3,37.5,0,37.5,10.7
Al Harrington,WAS,33,20,13,15,2.4,0.8,33.3,5.4,44.1,0.5,48.8,7.3
Al Horford,ATL,29,16,13,33,8.4,3.8,44.7,14.9,56.4,1,60.4,6.5
Al Jefferson,CHA,72,37,35,35,10.9,4.3,39.5,18.6,58.5,1.2,62.5,4.9
Al-Farouq Aminu,NOP,80,33,47,25.6,6.2,2.3,37.3,11.4,54.4,0.7,57.9,6.4
Alan Anderson,BKN,77,42,35,22.7,2.3,0.7,29.3,5.8,39.2,0.5,42.9,9.2
Alec Burks,UTA,78,24,54,28.1,3.3,1,31.1,8,41.3,0.5,43.9,8
Alex Len,PHX,42,24,18,8.6,2.4,1.2,52.5,5.3,44.8,0.2,46.7,4.4
Alexey Shved,MIN,63,28,35,10.5,1.3,0.4,32.1,2.8,45.3,0.2,48.8,8.6
Alexis Ajinca,NOP,56,22,34,17,4.9,2.3,46.2,9.5,51.9,0.7,55.8,5
Allen Crabbe,POR,15,12,3,6.7,0.6,0.1,11.1,1.6,37.5,0.1,39.1,6.5
Alonzo Gee,CLE,65,29,36,15.7,2.3,0.6,24.2,5.1,44.6,0.3,47.8,8.4
Amar'e Stoudemire,NYK,65,26,39,22.6,4.9,2.6,53.4,11.1,44.2,0.7,47.3,5.2
Amir Johnson,TOR,76,42,34,28.7,6.5,3.6,54.9,15.2,43.1,1.1,46.6,5
Anderson Varejao,CLE,65,25,40,27.7,9.7,4.4,45.3,19,50.8,1.2,54.1,5
Andray Blatche,BKN,72,39,33,22.1,5.2,2.7,51.6,10,52.4,0.9,57.5,5.4
Andre Drummond,DET,81,29,52,32.3,13.2,6.9,51.8,21.7,60.9,1.1,64.1,4.3
Andre Iguodala,GSW,63,41,22,32.4,4.7,1,21.5,9.2,50.5,0.7,54.7,9
Andre Miller,WAS,57,32,25,17,2.3,0.6,24.8,5.5,41.2,0.4,44.8,9.2
Andre Roberson,OKC,40,30,10,10,2.4,0.8,33,5,47.5,0.4,51.1,6.5
Andrea Bargnani,NYK,42,15,27,29.9,5.3,2.2,42.3,11.4,46.4,1,50.7,6.6
Andrei Kirilenko,BKN,44,29,15,19,3.2,1.1,35.2,7,46.4,0.5,49.7,7.1
Andrew Bogut,GSW,66,39,27,26.4,10,4.9,49.2,17.7,56.5,1,59.9,4.3
Andrew Bynum,IND,26,11,15,19.8,5.6,3.4,60.7,10.2,54.5,0.5,57.3,4.6
Andrew Nicholson,ORL,76,19,57,15.4,3.4,1.6,46.7,6.9,48.9,0.7,54.6,5.6
