Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
Gerald Wallace,BOS,32,15,17,8.9,1.8,0.5,29.8,3.6,49.1,0.3,53.3,6.4
Giannis Antetokounmpo,MIL,80,40,40,31.3,6.7,2.5,37.6,12.4,54,0.9,58,6.2
Gigi Datome,BOS,21,11,10,10,1.4,0.5,34.5,3.4,40.8,0.2,43.9,6.2
Glen Davis,LAC,74,52,22,12.2,2.3,1.4,60.9,5.6,40.5,0.4,43.7,5.4
Glen Rice,WAS,5,4,1,8.5,0.8,0.4,50,1.8,44.4,0,44.4,10.1
Glenn Robinson III,PHI,35,2,33,7.5,1.1,0.4,38.5,2.4,45.9,0.1,48.8,7.3
Goran Dragic,MIA,78,41,37,33.8,3.5,0.9,26.3,8.7,40.5,0.5,42.9,11.2
Gordon Hayward,UTA,76,35,41,34.4,4.9,1,19.6,8.9,55,0.5,58.5,8.9
Gorgui Dieng,MIN,72,16,56,30.3,8.4,4,47.7,16,52.5,0.9,55.7,5.1
Grant Jerrett,UTA,8,6,2,6.4,1.1,0.1,11.1,1.8,64.3,0.3,75,7.8
Greg Monroe,DET,69,25,44,31,10.2,5,49,17.7,57.8,0.9,61,5
Greg Smith,DAL,42,27,15,8.6,1.9,0.9,45.6,4.2,44.4,0.4,48.5,4.7
Greg Stiemsma,TOR,17,13,4,3.9,0.9,0.4,40,1.4,62.5,0,62.5,5.7
Greivis Vasquez,TOR,82,49,33,24.3,2.6,0.4,13.4,6.2,42.2,0.3,44.5,9.6
Harrison Barnes,GSW,82,67,15,28.3,5.5,1.8,32.7,11.2,49.1,0.8,52.9,7.1
Hassan Whiteside,MIA,47,17,30,24.1,10.2,5.9,57.8,18.5,55.1,0.9,57.9,3.8
Hedo Turkoglu,LAC,62,42,20,11.4,1.6,0.4,25.3,3,53.8,0.2,57.9,5.9
Henry Sims,PHI,73,14,59,19.2,4.9,2.6,53.8,10.8,45.7,0.7,48.9,5
Henry Walker,MIA,24,12,12,26.1,3.4,1.3,36.6,7.8,43.9,1,50,7.1
Hollis Thompson,PHI,71,13,58,25,2.8,0.9,33.8,5.6,50,0.4,53.8,9.3
Ian Clark,DEN,30,9,21,6.4,0.5,0.1,18.8,1.3,42.1,0.1,44.4,13.1
Ian Mahinmi,IND,61,28,33,18.8,5.8,3,51.4,10.2,57.3,0.6,60.8,5
Iman Shumpert,CLE,62,34,28,24.9,3.6,0.8,23.2,6.4,56.6,0.3,59.6,8.7
Isaiah Canaan,PHI,46,23,23,19.8,1.8,0.2,11.8,4,46.4,0.2,49.4,11.1
Isaiah Thomas,BOS,67,40,27,25.8,2.3,0.5,22.9,5.5,41.5,0.2,43.3,12.1
Ish Smith,PHI,55,24,31,15.1,1.8,0.3,16,4.7,38.9,0.3,41.8,8.5
J.J. Barea,DAL,77,49,28,17.7,1.7,0.3,15.7,4.4,39.2,0.4,42.7,10.2
JJ Hickson,DEN,73,26,47,19.3,6.2,2.6,41.6,10.8,57.3,0.5,60.2,5.2
JJ Redick,LAC,78,55,23,30.9,2.1,0.2,11.4,5.2,40.9,0.5,45.6,11.4
JR Smith,CLE,70,38,32,29.7,3.1,0.7,21.1,5.9,52.8,0.5,57.4,10
JaKarr Sampson,PHI,74,17,57,15.3,2.2,0.5,22.1,4.7,47.1,0.3,50.3,7.4
JaMychal Green,MEM,24,10,14,6.8,1.9,0.8,44.4,3,63.4,0.1,66.2,5.6
JaVale McGee,DEN,23,8,15,11.1,2.7,1.1,42.6,5.7,46.6,0.5,50.8,4.8
Jabari Brown,LAL,19,4,15,29.9,1.9,0.2,11.1,5.6,33.6,0.5,37.1,9.6
Jabari Parker,MIL,25,13,12,29.5,5.5,2.1,38.4,11,50.2,0.6,53.3,7
Jack Cooley,UTA,16,10,6,5.4,1.6,1,64,3.1,51,0.4,58.1,4.3
Jae Crowder,BOS,82,47,35,20.1,3.6,1.2,34.8,6.7,53.3,0.5,57.6,7
Jamaal Franklin,DEN,3,1,2,4.4,0.7,0.3,50,1,66.7,0,66.7,10.5
Jamal Crawford,LAC,64,44,20,26.6,1.9,0.4,20.2,3.8,50.6,0.1,52.3,10.8
Jameer Nelson,DEN,63,25,38,22.3,2.3,0.5,21.2,5.2,44.6,0.4,48.2,9.5
James Ennis III,MIA,62,27,35,17,2.8,1,36.4,5.8,48.9,0.5,54,6.5
James Harden,HOU,80,55,25,36.8,5.7,1.5,27,11.6,49.1,0.8,52.7,8
James Johnson,TOR,70,40,30,19.6,3.7,1.3,35,7.1,51.8,0.4,54.9,6
James Jones,CLE,56,35,21,11.9,1.1,0.3,29.5,2.4,45.2,0.2,49.2,8.2
James Michael McAdoo,GSW,15,11,4,9.1,2.5,1.2,48.6,4.9,50,0.3,53.6,6
James Young,BOS,31,14,17,10.7,1.4,0.4,26.2,2.5,53.8,0.3,60,8.4
Jannero Pargo,CHA,9,2,7,8.1,0.3,0.1,33.3,1.4,23.1,0,23.1,5
Jared Cunningham,LAC,19,12,7,4.7,0.5,0.2,44.4,1.1,42.9,0.2,50,7.5
Jared Dudley,MIL,71,38,33,23.9,3,1.1,36.3,7.6,40,0.6,43.6,7.2
Jared Sullinger,BOS,58,26,32,27,7.6,4,52.6,14.5,52.3,0.9,55.6,4.7
Jarnell Stokes,MEM,19,12,7,6.6,1.8,0.8,44.1,4.3,41.5,0.3,44.2,4.1
Jarrett Jack,BKN,80,36,44,28,3.1,0.3,10.2,6.1,50,0.4,53.1,10.5
Jason Maxiell,CHA,61,22,39,14.4,3.3,1.6,47.8,7.5,44.6,0.6,48.4,5.4
Jason Richardson,PHI,19,4,15,21.9,3.5,0.9,27.3,6.4,54.1,0.5,58.4,7.6
Jason Smith,NYK,81,17,64,21.9,4,1.6,40.6,8.2,48.4,0.5,51.4,6
Jason Terry,HOU,76,52,24,21.3,1.6,0.2,11,3.7,41.5,0.3,44.9,12.8
Jason Thompson,SAC,81,29,52,24.6,6.5,3.1,48.1,12.2,53.8,0.8,57.4,5
Jeff Adrien,HOU,17,1,16,12.7,4.5,2,44.2,7.7,58.8,0.5,62.6,4.1
Jeff Ayres,SAS,51,33,18,7.5,2.3,1.1,47,4.2,54.9,0.2,57.9,4.5
Jeff Green,MEM,78,41,37,31.5,4.2,1.4,32.6,8.3,50.9,0.4,53.4,8
Jeff Teague,ATL,73,53,20,30.5,2.5,0.4,14.7,6.6,38.3,0.3,40.4,11.1
Jeff Withey,NOP,37,17,20,7,1.7,1,56.3,3.4,51.2,0.2,53.8,4.5
Jeffery Taylor,CHA,29,11,18,14.8,1.8,0.5,28.3,4.1,44.5,0.2,46.5,9.2
Jerami Grant,PHI,65,18,47,21.2,3,1.1,36.9,7.1,42.9,0.6,47,7.7
Jerel McNeal,PHX,6,1,5,6.1,0.5,0.2,33.3,1.5,33.3,0.2,37.5,8
Jeremy Evans,UTA,38,19,19,7,1.9,1.1,56.3,3.9,47.3,0.3,51.8,6.2
Jeremy Lamb,OKC,47,27,20,13.5,2.3,0.5,20.6,3.8,60.1,0.2,63.3,6.7
Jeremy Lin,LAL,74,19,55,25.8,2.6,0.7,27,7.3,36.3,0.6,39.7,10
Jerome Jordan,BKN,44,17,27,8.7,2.4,1.4,58.1,4.7,50.5,0.4,54.7,6.7
Jerrelle Benimon,DEN,2,2,0,1.4,1.5,1,66.7,1.5,100,0,100,3.5
Jerryd Bayless,MIL,76,38,38,22.4,2.8,0.5,17.5,5.8,47.6,0.4,51.6,8.8
Jimmer Fredette,NOP,50,27,23,10.2,0.8,0.1,15,1.9,41.2,0.1,44.4,11.6
Jimmy Butler,CHI,65,40,25,38.7,5.8,2.1,36.1,12.3,47.3,0.8,50.5,8.3
Joakim Noah,CHI,67,39,28,30.6,9.6,5.1,53.1,19.4,49.8,1.1,52.7,4.4
Jodie Meeks,DET,60,29,31,24.4,1.7,0.2,13.5,3.8,46.2,0.3,49.5,10.8
Joe Harris,CLE,51,32,19,9.7,0.8,0.1,17.1,1.9,42.7,0.1,46.1,10.4
Joe Ingles,UTA,79,36,43,21.2,2.2,0.4,20,4.2,53.4,0.2,55.4,10.9
Joe Johnson,BKN,80,38,42,34.9,4.8,1.2,25.3,8.2,58.7,0.5,62.5,8
Joel Anthony,DET,49,25,24,8.3,1.9,0.8,44.1,4.5,41.9,0.3,45.4,5.1
Joel Freeland,POR,48,34,14,12.8,4,2,49.7,8,49.6,0.6,53.8,4.7
Joey Dorsey,HOU,68,47,21,12.5,4.1,2.3,56.2,8.1,49.8,0.5,53.1,4.6
